id,customer_name,subject,body_preview,category,priority,sentiment,reason
21,Jean,Dark mode for the dashboard,"It would be great to have a dark mode option for the dashboard, especially for night shifts.",feature_request,low,satisfied,mentions feature request
22,Anna,Bulk edit for tags,Could you add a way to bulk-edit tags across multiple tickets at once? Doing it one by one is slow.,feature_request,low,neutral,mentions feature request
23,Chloe,API rate limit increase option,We're hitting our API rate limit regularly. Would it be possible to offer a paid tier with higher limits?,feature_request,normal,neutral,mentions feature request
24,Anna,Slack integration,Any plans to add a native Slack integration for ticket alerts?,feature_request,low,neutral,mentions feature request
25,Laura,Custom fields on customer profile,We'd love the ability to add custom fields to customer profiles for our internal tracking.,feature_request,low,satisfied,mentions feature request
26,Julie,Package marked delivered but not received,Tracking says order #28301 was delivered yesterday but I never got the package. Can you help ? I need this resolved before the weekend.,shipping_delivery,high,worried,mentions shipping delivery
27,Julie,Wrong item shipped,I ordered a blue jacket (#86622) but received a red one instead. How do I get the correct item?,shipping_delivery,normal,frustrated,mentions shipping delivery
28,Laura,Delivery delayed by two weeks,My order #57447 was supposed to arrive last week and there's been no update since. This is a gift and I need it immediately .,shipping_delivery,urgent,frustrated,mentions shipping delivery; uses urgent language ('immediately')
29,Jean,Can I change my shipping address?,I just placed order #24371 and need to change the delivery address before it ships.,shipping_delivery,urgent,worried,mentions shipping delivery; uses urgent language ('critical')
30,Marc,Damaged item on arrival,The item from order #88172 arrived with a cracked screen. Requesting a replacement.,shipping_delivery,normal,frustrated,mentions shipping delivery
31,Laura,Extremely disappointed with support response time,I've been waiting five days for a reply to my last ticket. This level of service is unacceptable and I need someone to respond as soon as possible .,complaint,urgent,angry,mentions complaint; uses urgent language ('as soon as possible')
32,Marie,Rude interaction with support agent,The agent I spoke with yesterday was dismissive and unhelpful. I'd like this escalated.,complaint,high,angry,mentions complaint
33,Hugo,Cancelling after repeated issues,"Between the billing errors and the app crashes, I'm considering cancelling my subscription entirely.",complaint,urgent,angry,mentions complaint; uses urgent language ('urgent')
34,Marc,Third time reporting the same bug,This is the third time I'm reporting the same syncing bug with no real fix. I need this handled .,complaint,high,frustrated,mentions complaint
35,Julie,Unhappy with recent price increase,I was not notified in advance about the subscription price increase. I'd like an explanation.,complaint,normal,angry,mentions complaint
36,Alice,Do you offer student discounts?,I'm a university student - does your company offer any discounts on the annual plan?,general_inquiry,low,neutral,mentions general inquiry
37,Paul,What are your support hours?,"Just wondering what your support team's hours are, and whether you offer weekend coverage.",general_inquiry,low,neutral,mentions general inquiry
38,Chloe,Company information for a partnership,We're exploring a potential partnership and would like some general information about your company.,general_inquiry,low,neutral,mentions general inquiry
39,Thomas,Is there a mobile app?,"Do you have a mobile app for iOS, or is the platform web-only for now?",general_inquiry,low,satisfied,mentions general inquiry
40,Alice,Onboarding call request,We just signed up and would like to schedule an onboarding call with someone from your team.,general_inquiry,low,satisfied,mentions general inquiry
41,Kevin,Double charge on my invoice #12552,"Hi, I just noticed I was charged twice for order #12552, amount $66.46 each time. Can someone look into this and refund the duplicate charge?",billing,high,frustrated,mentions billing
42,Paul,Question about my monthly invoice,"Hello, I don't understand a line item on this month's invoice. Could you clarify what the $38.30 charge labeled 'service fee' is for?",billing,normal,confused,mentions billing
43,Camille,Refund request for order #20322,I returned my item last week and still haven't received my $52.93 refund for order #20322. Please process this immediately .,billing,urgent,frustrated,mentions billing; uses urgent language ('immediately')
44,Hugo,Update payment method,I need to update the credit card on file for my subscription. Can you send me a link to do that?,billing,low,neutral,mentions billing
45,Kevin,Invoice PDF not received,I never received the invoice PDF for #82063 by email. Could you resend it?,billing,normal,neutral,mentions billing
46,Alice,App crashes on login,"The mobile app crashes every time I try to log in since the last update. I've tried reinstalling and it still fails. This is blocking my work, please help .",technical_support,high,frustrated,mentions technical support
47,Chloe,Can't reset my password,I clicked 'forgot password' three times but never received the reset email. Can someone check ?,technical_support,high,frustrated,mentions technical support
48,Sarah,Slow loading dashboard,The analytics dashboard has been taking over a minute to load for the past two days. Is this a known issue?,technical_support,normal,neutral,mentions technical support
49,Nathan,Integration with Zapier not syncing,Our Zapier integration stopped syncing new records this morning. Nothing changed on our end.,technical_support,urgent,worried,mentions technical support; uses urgent language ('as soon as possible')
50,Nathan,How do I export my data?,I'd like to export all my project data to CSV. Is there a built-in way to do this?,technical_support,low,neutral,mentions technical support
51,Sophie,Locked out of my account,I'm locked out of my account after too many failed login attempts. I need access immediately for a client presentation.,account_access,urgent,worried,mentions account access; uses urgent language ('immediately')
52,Anna,Need to change account email,I switched jobs and need to update the email address linked to my account.,account_access,low,neutral,mentions account access
53,Julie,Two-factor authentication not working,"My authenticator app codes are being rejected and I can't get into my account. Please help critical , I have a deadline today.",account_access,urgent,frustrated,mentions account access; uses urgent language ('critical')
54,Camille,Add a teammate to our workspace,Could you help me understand how to invite a new teammate to our workspace plan?,account_access,low,neutral,mentions account access
55,Kevin,Account suspended without explanation,"My account was suspended overnight and I don't know why. I need this resolved asap , this is affecting my business.",account_access,urgent,angry,mentions account access; uses urgent language ('asap')
56,David,Export button does nothing,"Clicking the 'Export to PDF' button on the reports page does nothing - no download, no error message. Using Chrome on Windows 11.",bug_report,normal,neutral,mentions bug report
57,Jean,Duplicate entries after sync,"After syncing with our CRM, every contact appears twice in the list. This is corrupting our data, please look into it asap .",bug_report,urgent,worried,mentions bug report; uses urgent language ('asap')
58,Anna,Currency shown incorrectly,Prices are displaying in USD instead of EUR even though my account region is set to France.,bug_report,normal,neutral,mentions bug report
59,Chloe,Notifications not arriving,I stopped receiving email notifications for new comments about a week ago. Settings look unchanged.,bug_report,normal,confused,mentions bug report
60,Marc,Broken link in weekly report email,The 'View full report' link in this week's email leads to a 404 page.,bug_report,low,neutral,mentions bug report
61,Nathan,Dark mode for the dashboard,"It would be great to have a dark mode option for the dashboard, especially for night shifts.",feature_request,low,satisfied,mentions feature request
62,Lucas,Bulk edit for tags,Could you add a way to bulk-edit tags across multiple tickets at once? Doing it one by one is slow.,feature_request,low,neutral,mentions feature request
63,Marie,API rate limit increase option,We're hitting our API rate limit regularly. Would it be possible to offer a paid tier with higher limits?,feature_request,normal,neutral,mentions feature request
64,Nathan,Slack integration,Any plans to add a native Slack integration for ticket alerts?,feature_request,low,neutral,mentions feature request
65,Kevin,Custom fields on customer profile,We'd love the ability to add custom fields to customer profiles for our internal tracking.,feature_request,low,satisfied,mentions feature request
66,Jean,Package marked delivered but not received,Tracking says order #31579 was delivered yesterday but I never got the package. Can you help ? I need this resolved before the weekend.,shipping_delivery,high,worried,mentions shipping delivery
67,Julie,Wrong item shipped,I ordered a blue jacket (#69638) but received a red one instead. How do I get the correct item?,shipping_delivery,normal,frustrated,mentions shipping delivery
68,Hugo,Delivery delayed by two weeks,My order #96752 was supposed to arrive last week and there's been no update since. This is a gift and I need it urgent .,shipping_delivery,urgent,frustrated,mentions shipping delivery; uses urgent language ('urgent')
69,Chloe,Can I change my shipping address?,I just placed order #17665 and need to change the delivery address before it ships.,shipping_delivery,urgent,worried,mentions shipping delivery; uses urgent language ('critical')
70,Anna,Damaged item on arrival,The item from order #17492 arrived with a cracked screen. Requesting a replacement.,shipping_delivery,normal,frustrated,mentions shipping delivery
71,Kevin,Extremely disappointed with support response time,I've been waiting five days for a reply to my last ticket. This level of service is unacceptable and I need someone to respond as soon as possible .,complaint,urgent,angry,mentions complaint; uses urgent language ('as soon as possible')
72,Sophie,Rude interaction with support agent,The agent I spoke with yesterday was dismissive and unhelpful. I'd like this escalated.,complaint,high,angry,mentions complaint
73,Sophie,Cancelling after repeated issues,"Between the billing errors and the app crashes, I'm considering cancelling my subscription entirely.",complaint,urgent,angry,mentions complaint; uses urgent language ('as soon as possible')
74,Nathan,Third time reporting the same bug,This is the third time I'm reporting the same syncing bug with no real fix. I need this handled .,complaint,high,frustrated,mentions complaint
75,Marc,Unhappy with recent price increase,I was not notified in advance about the subscription price increase. I'd like an explanation.,complaint,normal,angry,mentions complaint
76,Alice,Do you offer student discounts?,I'm a university student - does your company offer any discounts on the annual plan?,general_inquiry,low,neutral,mentions general inquiry
77,Chloe,What are your support hours?,"Just wondering what your support team's hours are, and whether you offer weekend coverage.",general_inquiry,low,neutral,mentions general inquiry
78,Nathan,Company information for a partnership,We're exploring a potential partnership and would like some general information about your company.,general_inquiry,low,neutral,mentions general inquiry
79,Paul,Is there a mobile app?,"Do you have a mobile app for iOS, or is the platform web-only for now?",general_inquiry,low,satisfied,mentions general inquiry
80,Sophie,Onboarding call request,We just signed up and would like to schedule an onboarding call with someone from your team.,general_inquiry,low,satisfied,mentions general inquiry
81,Camille,Double charge on my invoice #23104,"Hi, I just noticed I was charged twice for order #23104, amount $46.68 each time. Can someone urgent look into this and refund the duplicate charge?",billing,urgent,frustrated,mentions billing; uses urgent language ('urgent')
82,Emma,Question about my monthly invoice,"Hello, I don't understand a line item on this month's invoice. Could you clarify what the $460.08 charge labeled 'service fee' is for?",billing,normal,confused,mentions billing
83,Nathan,Refund request for order #58434,I returned my item last week and still haven't received my $154.20 refund for order #58434. Please process this as soon as possible .,billing,urgent,frustrated,mentions billing; uses urgent language ('as soon as possible')
84,Paul,Update payment method,I need to update the credit card on file for my subscription. Can you send me a link to do that?,billing,low,neutral,mentions billing
85,Alice,Invoice PDF not received,I never received the invoice PDF for #11025 by email. Could you resend it?,billing,normal,neutral,mentions billing
86,Paul,App crashes on login,"The mobile app crashes every time I try to log in since the last update. I've tried reinstalling and it still fails. This is blocking my work, please help immediately .",technical_support,urgent,frustrated,mentions technical support; uses urgent language ('immediately')
87,Hugo,Can't reset my password,I clicked 'forgot password' three times but never received the reset email. Can someone check ?,technical_support,high,frustrated,mentions technical support
88,Anna,Slow loading dashboard,The analytics dashboard has been taking over a minute to load for the past two days. Is this a known issue?,technical_support,normal,neutral,mentions technical support
89,Julie,Integration with Zapier not syncing,Our Zapier integration stopped syncing new records this morning. Nothing changed on our end.,technical_support,high,worried,mentions technical support
90,Jean,How do I export my data?,I'd like to export all my project data to CSV. Is there a built-in way to do this?,technical_support,low,neutral,mentions technical support
91,Julie,Locked out of my account,I'm locked out of my account after too many failed login attempts. I need access for a client presentation.,account_access,urgent,worried,mentions account access
92,Julie,Need to change account email,I switched jobs and need to update the email address linked to my account.,account_access,low,neutral,mentions account access
93,Hugo,Two-factor authentication not working,"My authenticator app codes are being rejected and I can't get into my account. Please help critical , I have a deadline today.",account_access,urgent,frustrated,mentions account access; uses urgent language ('critical')
94,Emma,Add a teammate to our workspace,Could you help me understand how to invite a new teammate to our workspace plan?,account_access,low,neutral,mentions account access
95,Camille,Account suspended without explanation,"My account was suspended overnight and I don't know why. I need this resolved urgent , this is affecting my business.",account_access,urgent,angry,mentions account access; uses urgent language ('urgent')
96,David,Export button does nothing,"Clicking the 'Export to PDF' button on the reports page does nothing - no download, no error message. Using Chrome on Windows 11.",bug_report,normal,neutral,mentions bug report
97,Chloe,Duplicate entries after sync,"After syncing with our CRM, every contact appears twice in the list. This is corrupting our data, please look into it emergency .",bug_report,urgent,worried,mentions bug report; uses urgent language ('emergency')
98,Hugo,Currency shown incorrectly,Prices are displaying in USD instead of EUR even though my account region is set to France.,bug_report,normal,neutral,mentions bug report
99,Emma,Notifications not arriving,I stopped receiving email notifications for new comments about a week ago. Settings look unchanged.,bug_report,normal,confused,mentions bug report
100,Thomas,Broken link in weekly report email,The 'View full report' link in this week's email leads to a 404 page.,bug_report,low,neutral,mentions bug report
101,Anna,Dark mode for the dashboard,"It would be great to have a dark mode option for the dashboard, especially for night shifts.",feature_request,low,satisfied,mentions feature request
102,Nathan,Bulk edit for tags,Could you add a way to bulk-edit tags across multiple tickets at once? Doing it one by one is slow.,feature_request,low,neutral,mentions feature request
103,Lucas,API rate limit increase option,We're hitting our API rate limit regularly. Would it be possible to offer a paid tier with higher limits?,feature_request,normal,neutral,mentions feature request
104,Kevin,Slack integration,Any plans to add a native Slack integration for ticket alerts?,feature_request,low,neutral,mentions feature request
105,David,Custom fields on customer profile,We'd love the ability to add custom fields to customer profiles for our internal tracking.,feature_request,low,satisfied,mentions feature request
106,Nathan,Package marked delivered but not received,Tracking says order #13101 was delivered yesterday but I never got the package. Can you help urgent ? I need this resolved before the weekend.,shipping_delivery,urgent,worried,mentions shipping delivery; uses urgent language ('urgent')
107,Sophie,Wrong item shipped,I ordered a blue jacket (#46585) but received a red one instead. How do I get the correct item?,shipping_delivery,normal,frustrated,mentions shipping delivery
108,Alice,Delivery delayed by two weeks,My order #62386 was supposed to arrive last week and there's been no update since. This is a gift and I need it immediately .,shipping_delivery,urgent,frustrated,mentions shipping delivery; uses urgent language ('immediately')
109,Lucas,Can I change my shipping address?,I just placed order #44237 and need to change the delivery address before it ships.,shipping_delivery,high,worried,mentions shipping delivery
110,Julie,Damaged item on arrival,The item from order #15014 arrived with a cracked screen. Requesting a replacement.,shipping_delivery,normal,frustrated,mentions shipping delivery
111,Marc,Extremely disappointed with support response time,I've been waiting five days for a reply to my last ticket. This level of service is unacceptable and I need someone to respond as soon as possible .,complaint,urgent,angry,mentions complaint; uses urgent language ('as soon as possible')
112,Lucas,Rude interaction with support agent,The agent I spoke with yesterday was dismissive and unhelpful. I'd like this escalated.,complaint,high,angry,mentions complaint
113,Chloe,Cancelling after repeated issues,"Between the billing errors and the app crashes, I'm considering cancelling my subscription entirely.",complaint,urgent,angry,mentions complaint; uses urgent language ('as soon as possible')
114,Hugo,Third time reporting the same bug,This is the third time I'm reporting the same syncing bug with no real fix. I need this handled critical .,complaint,urgent,frustrated,mentions complaint; uses urgent language ('critical')
115,Anna,Unhappy with recent price increase,I was not notified in advance about the subscription price increase. I'd like an explanation.,complaint,normal,angry,mentions complaint
116,Lucas,Do you offer student discounts?,I'm a university student - does your company offer any discounts on the annual plan?,general_inquiry,low,neutral,mentions general inquiry
117,Marc,What are your support hours?,"Just wondering what your support team's hours are, and whether you offer weekend coverage.",general_inquiry,low,neutral,mentions general inquiry
118,Paul,Company information for a partnership,We're exploring a potential partnership and would like some general information about your company.,general_inquiry,low,neutral,mentions general inquiry
119,Marc,Is there a mobile app?,"Do you have a mobile app for iOS, or is the platform web-only for now?",general_inquiry,low,satisfied,mentions general inquiry
120,Thomas,Onboarding call request,We just signed up and would like to schedule an onboarding call with someone from your team.,general_inquiry,low,satisfied,mentions general inquiry
121,Laura,Double charge on my invoice #81819,"Hi, I just noticed I was charged twice for order #81819, amount $435.00 each time. Can someone right now look into this and refund the duplicate charge?",billing,urgent,frustrated,mentions billing; uses urgent language ('right now')
122,Marc,Question about my monthly invoice,"Hello, I don't understand a line item on this month's invoice. Could you clarify what the $319.83 charge labeled 'service fee' is for?",billing,normal,confused,mentions billing
123,Anna,Refund request for order #70946,I returned my item last week and still haven't received my $235.56 refund for order #70946. Please process this .,billing,high,frustrated,mentions billing
124,Alice,Update payment method,I need to update the credit card on file for my subscription. Can you send me a link to do that?,billing,low,neutral,mentions billing
125,Thomas,Invoice PDF not received,I never received the invoice PDF for #96356 by email. Could you resend it?,billing,normal,neutral,mentions billing
126,Alice,App crashes on login,"The mobile app crashes every time I try to log in since the last update. I've tried reinstalling and it still fails. This is blocking my work, please help emergency .",technical_support,urgent,frustrated,mentions technical support; uses urgent language ('emergency')
127,Nathan,Can't reset my password,I clicked 'forgot password' three times but never received the reset email. Can someone check ?,technical_support,high,frustrated,mentions technical support
128,Emma,Slow loading dashboard,The analytics dashboard has been taking over a minute to load for the past two days. Is this a known issue?,technical_support,normal,neutral,mentions technical support
129,Kevin,Integration with Zapier not syncing,Our Zapier integration stopped syncing new records this morning. Nothing changed on our end.,technical_support,urgent,worried,mentions technical support; uses urgent language ('asap')
130,Camille,How do I export my data?,I'd like to export all my project data to CSV. Is there a built-in way to do this?,technical_support,low,neutral,mentions technical support
131,Laura,Locked out of my account,I'm locked out of my account after too many failed login attempts. I need access critical for a client presentation.,account_access,urgent,worried,mentions account access; uses urgent language ('critical')
132,Marie,Need to change account email,I switched jobs and need to update the email address linked to my account.,account_access,low,neutral,mentions account access
133,Nathan,Two-factor authentication not working,"My authenticator app codes are being rejected and I can't get into my account. Please help immediately , I have a deadline today.",account_access,urgent,frustrated,mentions account access; uses urgent language ('immediately')
134,Hugo,Add a teammate to our workspace,Could you help me understand how to invite a new teammate to our workspace plan?,account_access,low,neutral,mentions account access
135,Sarah,Account suspended without explanation,"My account was suspended overnight and I don't know why. I need this resolved , this is affecting my business.",account_access,urgent,angry,mentions account access
136,Hugo,Export button does nothing,"Clicking the 'Export to PDF' button on the reports page does nothing - no download, no error message. Using Chrome on Windows 11.",bug_report,normal,neutral,mentions bug report
137,Sarah,Duplicate entries after sync,"After syncing with our CRM, every contact appears twice in the list. This is corrupting our data, please look into it .",bug_report,high,worried,mentions bug report
138,Marc,Currency shown incorrectly,Prices are displaying in USD instead of EUR even though my account region is set to France.,bug_report,normal,neutral,mentions bug report
139,Kevin,Notifications not arriving,I stopped receiving email notifications for new comments about a week ago. Settings look unchanged.,bug_report,normal,confused,mentions bug report
140,Nathan,Broken link in weekly report email,The 'View full report' link in this week's email leads to a 404 page.,bug_report,low,neutral,mentions bug report
141,Alice,Dark mode for the dashboard,"It would be great to have a dark mode option for the dashboard, especially for night shifts.",feature_request,low,satisfied,mentions feature request
142,Julie,Bulk edit for tags,Could you add a way to bulk-edit tags across multiple tickets at once? Doing it one by one is slow.,feature_request,low,neutral,mentions feature request
143,Paul,API rate limit increase option,We're hitting our API rate limit regularly. Would it be possible to offer a paid tier with higher limits?,feature_request,normal,neutral,mentions feature request
144,Anna,Slack integration,Any plans to add a native Slack integration for ticket alerts?,feature_request,low,neutral,mentions feature request
145,Emma,Custom fields on customer profile,We'd love the ability to add custom fields to customer profiles for our internal tracking.,feature_request,low,satisfied,mentions feature request
146,Emma,Package marked delivered but not received,Tracking says order #38043 was delivered yesterday but I never got the package. Can you help as soon as possible ? I need this resolved before the weekend.,shipping_delivery,urgent,worried,mentions shipping delivery; uses urgent language ('as soon as possible')
147,Sarah,Wrong item shipped,I ordered a blue jacket (#64496) but received a red one instead. How do I get the correct item?,shipping_delivery,normal,frustrated,mentions shipping delivery
148,Marc,Delivery delayed by two weeks,My order #61049 was supposed to arrive last week and there's been no update since. This is a gift and I need it .,shipping_delivery,high,frustrated,mentions shipping delivery
149,Marie,Can I change my shipping address?,I just placed order #85456 and need to change the delivery address before it ships.,shipping_delivery,urgent,worried,mentions shipping delivery; uses urgent language ('urgent')
150,Paul,Damaged item on arrival,The item from order #61116 arrived with a cracked screen. Requesting a replacement.,shipping_delivery,normal,frustrated,mentions shipping delivery
151,Hugo,Extremely disappointed with support response time,I've been waiting five days for a reply to my last ticket. This level of service is unacceptable and I need someone to respond .,complaint,urgent,angry,mentions complaint
152,Kevin,Rude interaction with support agent,The agent I spoke with yesterday was dismissive and unhelpful. I'd like this escalated.,complaint,high,angry,mentions complaint
153,Kevin,Cancelling after repeated issues,"Between the billing errors and the app crashes, I'm considering cancelling my subscription entirely.",complaint,high,angry,mentions complaint
154,Laura,Third time reporting the same bug,This is the third time I'm reporting the same syncing bug with no real fix. I need this handled .,complaint,high,frustrated,mentions complaint
155,Louis,Unhappy with recent price increase,I was not notified in advance about the subscription price increase. I'd like an explanation.,complaint,normal,angry,mentions complaint
156,Camille,Do you offer student discounts?,I'm a university student - does your company offer any discounts on the annual plan?,general_inquiry,low,neutral,mentions general inquiry
157,Sophie,What are your support hours?,"Just wondering what your support team's hours are, and whether you offer weekend coverage.",general_inquiry,low,neutral,mentions general inquiry
158,Sarah,Company information for a partnership,We're exploring a potential partnership and would like some general information about your company.,general_inquiry,low,neutral,mentions general inquiry
159,Laura,Is there a mobile app?,"Do you have a mobile app for iOS, or is the platform web-only for now?",general_inquiry,low,satisfied,mentions general inquiry
160,Anna,Onboarding call request,We just signed up and would like to schedule an onboarding call with someone from your team.,general_inquiry,low,satisfied,mentions general inquiry
161,Julie,Double charge on my invoice #65255,"Hi, I just noticed I was charged twice for order #65255, amount $138.10 each time. Can someone critical look into this and refund the duplicate charge?",billing,urgent,frustrated,mentions billing; uses urgent language ('critical')
162,Hugo,Question about my monthly invoice,"Hello, I don't understand a line item on this month's invoice. Could you clarify what the $496.44 charge labeled 'service fee' is for?",billing,normal,confused,mentions billing
163,Nathan,Refund request for order #95215,I returned my item last week and still haven't received my $44.99 refund for order #95215. Please process this .,billing,high,frustrated,mentions billing
164,Jean,Update payment method,I need to update the credit card on file for my subscription. Can you send me a link to do that?,billing,low,neutral,mentions billing
165,Chloe,Invoice PDF not received,I never received the invoice PDF for #12671 by email. Could you resend it?,billing,normal,neutral,mentions billing
166,Nathan,App crashes on login,"The mobile app crashes every time I try to log in since the last update. I've tried reinstalling and it still fails. This is blocking my work, please help right now .",technical_support,urgent,frustrated,mentions technical support; uses urgent language ('right now')
167,Sarah,Can't reset my password,I clicked 'forgot password' three times but never received the reset email. Can someone check as soon as possible ?,technical_support,urgent,frustrated,mentions technical support; uses urgent language ('as soon as possible')
168,Lucas,Slow loading dashboard,The analytics dashboard has been taking over a minute to load for the past two days. Is this a known issue?,technical_support,normal,neutral,mentions technical support
169,Camille,Integration with Zapier not syncing,Our Zapier integration stopped syncing new records this morning. Nothing changed on our end.,technical_support,high,worried,mentions technical support
170,Laura,How do I export my data?,I'd like to export all my project data to CSV. Is there a built-in way to do this?,technical_support,low,neutral,mentions technical support
171,Chloe,Locked out of my account,I'm locked out of my account after too many failed login attempts. I need access for a client presentation.,account_access,urgent,worried,mentions account access
172,Nathan,Need to change account email,I switched jobs and need to update the email address linked to my account.,account_access,low,neutral,mentions account access
173,Paul,Two-factor authentication not working,"My authenticator app codes are being rejected and I can't get into my account. Please help , I have a deadline today.",account_access,urgent,frustrated,mentions account access
174,Camille,Add a teammate to our workspace,Could you help me understand how to invite a new teammate to our workspace plan?,account_access,low,neutral,mentions account access
175,Marc,Account suspended without explanation,"My account was suspended overnight and I don't know why. I need this resolved urgent , this is affecting my business.",account_access,urgent,angry,mentions account access; uses urgent language ('urgent')
176,Marie,Export button does nothing,"Clicking the 'Export to PDF' button on the reports page does nothing - no download, no error message. Using Chrome on Windows 11.",bug_report,normal,neutral,mentions bug report
177,Lucas,Duplicate entries after sync,"After syncing with our CRM, every contact appears twice in the list. This is corrupting our data, please look into it .",bug_report,high,worried,mentions bug report
178,Sarah,Currency shown incorrectly,Prices are displaying in USD instead of EUR even though my account region is set to France.,bug_report,normal,neutral,mentions bug report
179,Alice,Notifications not arriving,I stopped receiving email notifications for new comments about a week ago. Settings look unchanged.,bug_report,normal,confused,mentions bug report
180,Hugo,Broken link in weekly report email,The 'View full report' link in this week's email leads to a 404 page.,bug_report,low,neutral,mentions bug report
181,Camille,Dark mode for the dashboard,"It would be great to have a dark mode option for the dashboard, especially for night shifts.",feature_request,low,satisfied,mentions feature request
182,Sophie,Bulk edit for tags,Could you add a way to bulk-edit tags across multiple tickets at once? Doing it one by one is slow.,feature_request,low,neutral,mentions feature request
183,Nathan,API rate limit increase option,We're hitting our API rate limit regularly. Would it be possible to offer a paid tier with higher limits?,feature_request,normal,neutral,mentions feature request
184,Laura,Slack integration,Any plans to add a native Slack integration for ticket alerts?,feature_request,low,neutral,mentions feature request
185,Anna,Custom fields on customer profile,We'd love the ability to add custom fields to customer profiles for our internal tracking.,feature_request,low,satisfied,mentions feature request
186,David,Package marked delivered but not received,Tracking says order #43862 was delivered yesterday but I never got the package. Can you help ? I need this resolved before the weekend.,shipping_delivery,high,worried,mentions shipping delivery
187,Julie,Wrong item shipped,I ordered a blue jacket (#82848) but received a red one instead. How do I get the correct item?,shipping_delivery,normal,frustrated,mentions shipping delivery
188,Chloe,Delivery delayed by two weeks,My order #21221 was supposed to arrive last week and there's been no update since. This is a gift and I need it as soon as possible .,shipping_delivery,urgent,frustrated,mentions shipping delivery; uses urgent language ('as soon as possible')
189,Nathan,Can I change my shipping address?,I just placed order #72402 and need to change the delivery address before it ships.,shipping_delivery,urgent,worried,mentions shipping delivery; uses urgent language ('emergency')
190,Marie,Damaged item on arrival,The item from order #22196 arrived with a cracked screen. Requesting a replacement.,shipping_delivery,normal,frustrated,mentions shipping delivery
191,Laura,Extremely disappointed with support response time,I've been waiting five days for a reply to my last ticket. This level of service is unacceptable and I need someone to respond .,complaint,urgent,angry,mentions complaint
192,Kevin,Rude interaction with support agent,The agent I spoke with yesterday was dismissive and unhelpful. I'd like this escalated.,complaint,high,angry,mentions complaint
193,Marc,Cancelling after repeated issues,"Between the billing errors and the app crashes, I'm considering cancelling my subscription entirely.",complaint,high,angry,mentions complaint
194,Julie,Third time reporting the same bug,This is the third time I'm reporting the same syncing bug with no real fix. I need this handled right now .,complaint,urgent,frustrated,mentions complaint; uses urgent language ('right now')
195,Anna,Unhappy with recent price increase,I was not notified in advance about the subscription price increase. I'd like an explanation.,complaint,normal,angry,mentions complaint
196,Thomas,Do you offer student discounts?,I'm a university student - does your company offer any discounts on the annual plan?,general_inquiry,low,neutral,mentions general inquiry
